LAST SEEN   TYPE      REASON              OBJECT                                     MESSAGE
11m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-8645bc8f7d   Deleted pod: playwright-wrapper-8645bc8f7d-9gnxv
11m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-7b8b4cbb8b   Created pod: playwright-wrapper-7b8b4cbb8b-tkkft
11m         Normal    Scheduled           pod/playwright-wrapper-7b8b4cbb8b-tkkft    Successfully assigned n8n-prod/playwright-wrapper-7b8b4cbb8b-tkkft to pw-control-plane
11m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-7b59799bd8   Deleted pod: playwright-wrapper-7b59799bd8-t674n
11m         Normal    SuccessfulCreate    replicaset/playwright-wrapper-7b59799bd8   Created pod: playwright-wrapper-7b59799bd8-t674n
11m         Normal    Scheduled           pod/playwright-wrapper-7b59799bd8-t674n    Successfully assigned n8n-prod/playwright-wrapper-7b59799bd8-t674n to pw-control-plane
11m         Warning   Unhealthy           pod/playwright-wrapper-8645bc8f7d-9gnxv    Readiness probe failed: Get "http://10.244.0.185:8080/health": dial tcp 10.244.0.185:8080: connect: connection refused
11m         Normal    Pulled              pod/playwright-wrapper-7b8b4cbb8b-tkkft    Container image "playwright-wrapper:force-host-localhost-20260218-151236" already present on machine and can be accessed by the pod
11m         Normal    Created             pod/playwright-wrapper-7b8b4cbb8b-tkkft    Container created
11m         Normal    Started             pod/playwright-wrapper-7b8b4cbb8b-tkkft    Container started
11m         Normal    Scheduled           pod/curltest-sessions-12856                Successfully assigned n8n-prod/curltest-sessions-12856 to pw-control-plane
11m         Normal    Killing             pod/playwright-wrapper-55fdddc85f-nh5zq    Stopping container wrapper
11m         Normal    SuccessfulDelete    replicaset/playwright-wrapper-55fdddc85f   Deleted pod: playwright-wrapper-55fdddc85f-nh5zq
11m         Normal    Pulled              pod/pw-920aec5b32b2e712                    Container image "mcr.microsoft.com/playwright/mcp:latest" already present on machine and can be accessed by the pod
11m         Normal    Started             pod/curltest-sessions-12856                Container started
11m         Normal    Pulled              pod/curltest-sessions-12856                Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
11m         Normal    Created             pod/curltest-sessions-12856                Container created
11m         Normal    Started             pod/pw-920aec5b32b2e712                    Container started
11m         Normal    Created             pod/pw-920aec5b32b2e712                    Container created
11m         Normal    Scheduled           pod/pw-920aec5b32b2e712                    Successfully assigned n8n-prod/pw-920aec5b32b2e712 to pw-control-plane
9m59s       Normal    Killing             pod/pw-920aec5b32b2e712                    Stopping container playwright
9m59s       Normal    Killing             pod/pw-1f7c623fd1b2f866                    Stopping container playwright
9m59s       Normal    Killing             pod/pw-44cee798d125a895                    Stopping container playwright
9m59s       Normal    Killing             pod/pw-6ea869a12b24e8e9                    Stopping container playwright
9m59s       Normal    Killing             pod/pw-a3862cff22c56d53                    Stopping container playwright
9m59s       Normal    Killing             pod/pw-a7237c85854d50c5                    Stopping container playwright
9m59s       Normal    Killing             pod/pw-cfa20bbf48b4d847                    Stopping container playwright
9m59s       Normal    Killing             pod/pw-b2a4c36b727a9f8b                    Stopping container playwright
9m45s       Normal    Scheduled           pod/pw-e77723c00acb3374                    Successfully assigned n8n-prod/pw-e77723c00acb3374 to pw-control-plane
9m46s       Normal    Created             pod/curltest-mcpwrap                       Container created
9m45s       Normal    Scheduled           pod/curltest-mcpwrap                       Successfully assigned n8n-prod/curltest-mcpwrap to pw-control-plane
9m46s       Normal    Pulled              pod/curltest-mcpwrap                       Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
9m46s       Normal    Started             pod/curltest-mcpwrap                       Container started
9m45s       Normal    Created             pod/pw-e77723c00acb3374                    Container created
9m45s       Normal    Pulled              pod/pw-e77723c00acb3374                    Container image "mcr.microsoft.com/playwright/mcp:latest" already present on machine and can be accessed by the pod
9m45s       Normal    Started             pod/pw-e77723c00acb3374                    Container started
8m28s       Normal    Started             pod/curltest-mcpwrap2                      Container started
8m28s       Normal    Scheduled           pod/curltest-mcpwrap2                      Successfully assigned n8n-prod/curltest-mcpwrap2 to pw-control-plane
8m28s       Normal    Pulled              pod/curltest-mcpwrap2                      Container image "curlimages/curl:8.6.0" already present on machine and can be accessed by the pod
8m28s       Normal    Created             pod/curltest-mcpwrap2                      Container created
5m37s       Normal    Scheduled           pod/playwright-wrapper-766688565c-9frkj    Successfully assigned n8n-prod/playwright-wrapper-766688565c-9frkj to pw-control-plane
5m38s       Normal    SuccessfulCreate    replicaset/playwright-wrapper-766688565c   Created pod: playwright-wrapper-766688565c-9frkj
5m38s       Normal    SuccessfulDelete    replicaset/playwright-wrapper-d8c8cd46c    Deleted pod: playwright-wrapper-d8c8cd46c-wt5s8
5m38s       Normal    SuccessfulCreate    replicaset/playwright-wrapper-d8c8cd46c    Created pod: playwright-wrapper-d8c8cd46c-wt5s8
5m37s       Normal    Scheduled           pod/playwright-wrapper-d8c8cd46c-wt5s8     Successfully assigned n8n-prod/playwright-wrapper-d8c8cd46c-wt5s8 to pw-control-plane
2m37s       Normal    Pulled              pod/playwright-wrapper-766688565c-9frkj    Container image "playwright-wrapper:sse-propagate-upstream-20260218-151850" already present on machine and can be accessed by the pod
2m37s       Normal    Created             pod/playwright-wrapper-766688565c-9frkj    Container created
2m37s       Normal    Started             pod/playwright-wrapper-766688565c-9frkj    Container started
2s          Warning   BackOff             pod/playwright-wrapper-766688565c-9frkj    Back-off restarting failed container wrapper in pod playwright-wrapper-766688565c-9frkj_n8n-prod(3b89af14-a571-4842-9f6d-3b1fdd8f0c57)
