### CMD: docker exec pw-control-plane sh -lc ctr -n k8s.io images ls || true
### DATE: 2026-02-19T10:02:09+01:00

REF                                                                                                                        TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                                                                           LABELS                                                          
docker.io/library/playwright-wrapper:local-sse-proxyfix-20260217-190553                                                    application/vnd.oci.image.manifest.v1+json                sha256:ae5aa1a1338cd873475d3c921d2fb0922790d4e8c24746d6e8ed7019e0196785 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:mcp-autoinit-toggle-20260218-145844                                                   application/vnd.oci.image.manifest.v1+json                sha256:361e74eb2c038b74e852b937e437d3d6ed5fd04a29a4995463a4a8216a4c6e04 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:nocache-20260218-121212                                                               application/vnd.oci.image.manifest.v1+json                sha256:c81d8db315c58486527f38e310cd72970cbd5b51a3c2303881777257de10636a 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:proxyany-idempotent-init-20260218-155152                                              application/vnd.oci.image.manifest.v1+json                sha256:51de88218360619afdc5675393b6449630986c58c09ee40c855356fa4f257736 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:proxyany-retry-session-not-found-20260218-160448                                      application/vnd.oci.image.manifest.v1+json                sha256:534e504e2a290ba8ca939a3851a0bfcb1c373b2f9d83816d5f92d0cf8d173c6a 192.0 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:sse-propagate-upstream-20260218-151850                                                application/vnd.oci.image.manifest.v1+json                sha256:2c14e2cb775dcea2f73980f1e806dc9242342d39487efe947cd96436676df19c 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
ecr-public.aws.com/docker/library/redis:8.2.3-alpine                                                                       application/vnd.oci.image.index.v1+json                   sha256:08ad0b1d280850169a790dba1393ff7a90aef951fc19632cf4d3ce4f78e679ba 26.2 MiB  linux/386,linux/amd64,linux/arm/v6,linux/arm/v7,linux/arm64/v8,linux/ppc64le,linux/riscv64,linux/s390x              io.cri-containerd.image=managed                                 
ecr-public.aws.com/docker/library/redis@sha256:08ad0b1d280850169a790dba1393ff7a90aef951fc19632cf4d3ce4f78e679ba            application/vnd.oci.image.index.v1+json                   sha256:08ad0b1d280850169a790dba1393ff7a90aef951fc19632cf4d3ce4f78e679ba 26.2 MiB  linux/386,linux/amd64,linux/arm/v6,linux/arm/v7,linux/arm64/v8,linux/ppc64le,linux/riscv64,linux/s390x              io.cri-containerd.image=managed                                 
ghcr.io/dexidp/dex:v2.44.0                                                                                                 application/vnd.oci.image.index.v1+json                   sha256:5d0656fce7d453c0e3b2706abf40c0d0ce5b371fb0b73b3cf714d05f35fa5f86 43.7 MiB  linux/amd64,linux/arm/v7,linux/arm64,linux/ppc64le,linux/s390x                                                      io.cri-containerd.image=managed                                 
ghcr.io/dexidp/dex@sha256:5d0656fce7d453c0e3b2706abf40c0d0ce5b371fb0b73b3cf714d05f35fa5f86                                 application/vnd.oci.image.index.v1+json                   sha256:5d0656fce7d453c0e3b2706abf40c0d0ce5b371fb0b73b3cf714d05f35fa5f86 43.7 MiB  linux/amd64,linux/arm/v7,linux/arm64,linux/ppc64le,linux/s390x                                                      io.cri-containerd.image=managed                                 
mcr.microsoft.com/playwright/mcp:latest                                                                                    application/vnd.oci.image.index.v1+json                   sha256:a9d607e571d70954acc36de7a45e7f424a94cebdfba973b1f404435108c60f3f 385.2 MiB linux/amd64,linux/arm64                                                                                             io.cri-containerd.image=managed                                 
mcr.microsoft.com/playwright/mcp@sha256:a9d607e571d70954acc36de7a45e7f424a94cebdfba973b1f404435108c60f3f                   application/vnd.oci.image.index.v1+json                   sha256:a9d607e571d70954acc36de7a45e7f424a94cebdfba973b1f404435108c60f3f 385.2 MiB linux/amd64,linux/arm64                                                                                             io.cri-containerd.image=managed                                 
quay.io/argoproj/argocd:v3.3.0                                                                                             application/vnd.docker.distribution.manifest.list.v2+json sha256:ed0740273790e58154816104c1e1b41fb308a9c516ade3d0f195fa56f1840cca 170.3 MiB linux/amd64,linux/arm64,linux/ppc64le,linux/s390x                                                                   io.cri-containerd.image=managed                                 
quay.io/argoproj/argocd@sha256:ed0740273790e58154816104c1e1b41fb308a9c516ade3d0f195fa56f1840cca                            application/vnd.docker.distribution.manifest.list.v2+json sha256:ed0740273790e58154816104c1e1b41fb308a9c516ade3d0f195fa56f1840cca 170.3 MiB linux/amd64,linux/arm64,linux/ppc64le,linux/s390x                                                                   io.cri-containerd.image=managed                                 
registry-1.docker.io/bitnamilegacy/postgresql:latest                                                                       application/vnd.docker.distribution.manifest.list.v2+json sha256:42a8200d35971f931b869ef5252d996e137c6beb4b8f1b6d2181dc7d1b6f62e0 106.3 MiB linux/amd64,linux/arm64                                                                                             io.cri-containerd.image=managed                                 
